Habitat Description,Technical Difficulty Creation,Multiplier,Technical Difficulty Enhancement,Multiplier
Urban - Biodiverse green roof,Medium,0.67,Medium,0.67
Urban - Introduced shrub,Low,1,Low,1
Urban - Open mosaic habitats on previously developed land,Medium,0.67,Medium,0.67
Urban - Rain garden,Low,1,Low,1
Urban - Actively worked sand pit quarry or open cast mine,Medium,0.67,Low,1
Individual trees - Urban tree,Low,1,Low,1
Urban - Sustainable drainage system,Medium,0.67,Medium,0.67
Urban - Unvegetated garden,Low,1,Low,1
Urban - Vegetated garden,Low,1,Low,1
Wetland - Blanket bog,Very High,0.1,High,0.33
Wetland - Depressions on peat substrates (H7150),Very High,0.1,High,0.33
Wetland - Fens (upland and lowland),High,0.33,High,0.33
Wetland - Lowland raised bog,Very High,0.1,High,0.33
Wetland - Oceanic valley mire[1] (D2.1),Very High,0.1,High,0.33
Wetland - Purple moor grass and rush pastures,High,0.33,High,0.33
Wetland - Reedbeds,Medium,0.67,Medium,0.67
Wetland - Transition mires and quaking bogs (H7140),Very High,0.1,High,0.33
Woodland and forest - Felled,High,0.33,Low,1
Woodland and forest - Lowland beech and yew woodland,High,0.33,High,0.33
Woodland and forest - Lowland mixed deciduous woodland,High,0.33,High,0.33
Woodland and forest - Native pine woodlands,High,0.33,High,0.33
Woodland and forest - Other coniferous woodland,Low,1,Low,1
Woodland and forest - Other Scot's pine woodland,Medium,0.67,Medium,0.67
Woodland and forest - Other woodland; broadleaved,Low,1,Low,1
Woodland and forest - Other woodland; mixed,Low,1,Low,1
Woodland and forest - Upland birchwoods,Medium,0.67,Medium,0.67
Woodland and forest - Upland mixed ashwoods,High,0.33,High,0.33
Woodland and forest - Upland oakwood,High,0.33,High,0.33
Woodland and forest - Wet woodland,Medium,0.67,Medium,0.67
Woodland and forest - Wood-pasture and parkland,Very High,0.1,High,0.33
Intertidal sediment - Littoral sand,Medium,0.67,Medium,0.67
Intertidal sediment - Littoral muddy sand,High,0.33,Medium,0.67
Intertidal hard structures - Artificial hard structures,Medium,0.67,Medium,0.67
Intertidal hard structures - Artificial features of hard structures,Medium,0.67,Medium,0.67
Intertidal hard structures - Artificial hard structures with integrated greening of grey infrastructure (IGGI),Medium,0.67,Medium,0.67
Coastal saltmarsh - Artificial saltmarshes and saline reedbeds,High,0.33,Medium,0.67
Intertidal sediment - Littoral biogenic reefs - Mussels,High,0.33,Medium,0.67
Intertidal sediment - Artificial littoral mud,High,0.33,Medium,0.67
Intertidal sediment - Artificial littoral sand,Medium,0.67,Medium,0.67
Watercourse footprint - Watercourse footprint,Low,1,Low,1
Individual trees - Rural tree,Low,1,Low,1
